"","x"
"191"," 
										친구와 같은 느와르를 기대한 면이 있었지만 범죄도시 나름대로 선빵한 케이스라고 본다. 리얼리티적인 요소가 조금 아깝고 시나리오 자체를 조금 더 손밨으면 하는 안타까움이 남는 영화. 윤계상은 왜 항상 10점 만점에 하나가 빠지는 영화만 찍을까? 풍산개도 그렇고 시나리오 선택을 잘해서 다음번 영화는 천만대박나길 바란다. 조연분들은 정말로 연기 잘했고 칭찬해주고 싶다.
									"
"192"," 
										선과 악, 갈등이나 감동 같은 군더더기를 생략하고 앞만 보고 나아가는 멋진 범죄 액션 영화
									"
"193"," 
										재밌는 요소들을 넣어, 호감요소를 갖춘 슈퍼맨을 만들어낸 느낌.
									"
"194"," 
										재미있음
									"
"195"," 
										elanvital님2004년 얘기라잖아요  영화볼때 잠깐 졸으셨죠? 의문하나 나라면 권총쏜다 이럼영화재미없겠지 요부분은 진짜현실성없다 
									"
"196"," 
										시원시원하다마블리의 통쾌한 무비!맘에든다!
									"
"197"," 
										바다이야기가 왜 나오니? 세상이 어떻게 돌아가는지도 모르나? 너 누기야???
									"
"198"," 
										19금 영화인데 참 19금답게 재밌다.이것도 실화를 바탕으로 한 영화라는데 참 재밌다. 영화는 재미가 있어야해 ~
									"
"199"," 
										백프로 픽션은 아니라고 본다중국 사람들 무섭~솔직히 다 내보냈으면.....
									"
"200"," 
										천하무적 악당... 천하최악 스토리...아무리 영화라도 논리적 설득력은 있어야..."
